Title,UID,Authors,Pub_Year,PMCID,DOI,Data_availability_statement,Metabolomics,Primary_study,Statement_classification,Data_sharing_class,Raw_data,Repository,Accession_number,Link,Clinical_human_study,Notes
Biochemical association of metabolic profile and microbiome in chronic pressure ulcer wounds.,25978400,"Ammons MC, Morrissey K, Tripet BP, Van Leuven JT, Han A, Lazarus GS, Zenilman JM, Stewart PS, James GA, Copie V",2015,PMC4433261,10.1371/journal.pone.0126735,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Genotype x herbivore effect on leaf litter decomposition in Betula Pendula saplings: ecological and evolutionary consequences and the role of secondary metabolites.,25622034,"Silfver T, Paaso U, Rasehorn M, Rousi M, Mikola J",2015,PMC4306545,10.1371/journal.pone.0116806,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Acute and chronic plasma metabolomic and liver transcriptomic stress effects in a mouse model with features of post-traumatic stress disorder.,25629821,"Gautam A, D'Arpa P, Donohue DE, Muhie S, Chakraborty N, Luke BT, Grapov D, Carroll EE, Meyerhoff JL, Hammamieh R, Jett M",2015,PMC4309402,10.1371/journal.pone.0117092,Liver transcriptomics data_may view GSE58275 study at: http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58275. The metabolomics data file is submitted as S1 File. The Protein data file is submitted as File S6,1,1,A,2,0,,,,0,
Health effects from swimming training in chlorinated pools and the corresponding metabolic stress pathways.,25742134,"Li JH, Wang ZH, Zhu XJ, Deng ZH, Cai CX, Qiu LQ, Chen W, Lin YJ",2015,PMC4351252,10.1371/journal.pone.0119241,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Metabolic remodeling in moderate synchronous versus dyssynchronous pacing-induced heart failure: integrated metabolomics and proteomics study.,25790351,"Shibayama J, Yuzyuk TN, Cox J, Makaju A, Miller M, Lichter J, Li H, Leavy JD, Franklin S, Zaitsev AV",2015,PMC4366225,10.1371/journal.pone.0118974,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Potential biomarkers of fatigue identified by plasma metabolome analysis in rats.,25793974,"Kume S, Yamato M, Tamura Y, Jin G, Nakano M, Miyashige Y, Eguchi A, Ogata Y, Goda N, Iwai K, Yamano E, Watanabe Y, Soga T, Kataoka Y",2015,PMC4368560,10.1371/journal.pone.0120106,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Untargeted metabolomic analysis of human plasma indicates differentially affected polyamine and L-arginine metabolism in mild cognitive impairment subjects converting to Alzheimer's disease.,25803028,"Graham SF, Chevallier OP, Elliott CT, Holscher C, Johnston J, McGuinness B, Kehoe PG, Passmore AP, Green BD",2015,PMC4372431,10.1371/journal.pone.0119452,"The raw data used to produce graphs, figures, statistical values and images presented herein have been uploaded along with the paper. In addition actual metabolite identifications with the appropriate identification and confidence metrics and quantitative values have been included as supplementary data for the benefit of researchers.",1,1,A,2,0,,,,1,
Quorum-sensing dysbiotic shifts in the HIV-infected oral metabiome.,25886290,"Brown RE, Ghannoum MA, Mukherjee PK, Gillevet PM, Sikaroodi M",2015,PMC4401692,10.1371/journal.pone.0123880,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,1,
Dynamic Metabolic Profiles and Tissue-Specific Source Effects on the Metabolome of Developing Seeds of Brassica napus.,25919591,"Tan H, Xie Q, Xiang X, Li J, Zheng S, Xu X, Guo H, Ye W",2015,PMC4412398,10.1371/journal.pone.0124794,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
Temperament type specific metabolite profiles of the prefrontal cortex and serum in cattle.,25927228,"Brand B, Hadlich F, Brandt B, Schauer N, Graunke KL, Langbein J, Repsilber D, Ponsuksili S, Schwerin M",2015,PMC4416037,10.1371/journal.pone.0125044,All relevant data are within the paper and its Supporting Information files.,1,1,A,2,0,,,,0,
